pf,9638,CRT,FALSE,universal,sk144,,,,<--,786, BFO-qkp-1, mpt,9516,,,,,,,
pf,9637,CRT,FALSE,precedes,sk144,sk144,,,<--,418, BFO-aou-1, mpt,9518,9518,,,,,,
pf,9636,CRT,FALSE,'instance-of',sk144,continuant,sk144,,<--,798, BFO-wrf-1, mpt,9519,,,,,,,
pf,9635,CRT,FALSE,universal,sk142,,,,<--,786, BFO-qkp-1, mpt,9523,,,,,,,
pf,9634,CRT,FALSE,precedes,sk142,sk142,,,<--,418, BFO-aou-1, mpt,9525,9525,,,,,,
pf,9633,CRT,FALSE,'instance-of',sk142,continuant,sk142,,<--,798, BFO-wrf-1, mpt,9526,,,,,,,
pf,9632,CRT,FALSE,'instance-of',a,occurrent,sk17,,<--,798, BFO-wrf-1, mpt,9531,,,,,,,
pf,9631,CRT,FALSE,'proper-continuant-part-of',a,a,sk142,,<--,197, BFO-sls-1, mpt,9533,,,,,,,
pf,9630,CRT,FALSE,'proper-continuant-part-of',a,a,sk144,,<--,197, BFO-sls-1, mpt,9534,,,,,,,
pf,9629,CRT,FALSE,universal,sk51,,,,<--,786, BFO-qkp-1, mpt,9535,,,,,,,
pf,9628,CRT,FALSE,precedes,sk51,sk51,,,<--,418, BFO-aou-1, mpt,9537,9537,,,,,,
pf,9627,CRT,FALSE,'instance-of',sk51,continuant,sk51,,<--,798, BFO-wrf-1, mpt,9538,,,,,,,
pf,9626,CRT,FALSE,universal,sk40,,,,<--,786, BFO-qkp-1, mpt,9542,,,,,,,
pf,9625,CRT,FALSE,precedes,sk40,sk40,,,<--,418, BFO-aou-1, mpt,9543,9543,,,,,,
pf,9624,CRT,FALSE,'instance-of',sk40,continuant,sk40,,<--,798, BFO-wrf-1, mpt,9544,,,,,,,
pf,9623,CRT,FALSE,'proper-occurrent-part-of',sk40,sk40,,,<--,353, BFO-okr-1, mpt,9548,,,,,,,
pf,9622,CRT,FALSE,'proper-temporal-part-of',sk40,sk40,,,<--,675, BFO-aeu-1, mpt,9548,,,,,,,
pf,9621,CRT,FALSE,'proper-occurrent-part-of',sk51,sk51,,,<--,353, BFO-okr-1, mpt,9552,,,,,,,
pf,9620,CRT,FALSE,'proper-temporal-part-of',sk51,sk51,,,<--,675, BFO-aeu-1, mpt,9552,,,,,,,
pf,9619,CRT,FALSE,'instance-of',a,occurrent,sk144,,<--,798, BFO-wrf-1, mpt,9559,,,,,,,
pf,9618,CRT,FALSE,'instance-of',a,occurrent,sk142,,<--,798, BFO-wrf-1, mpt,9562,,,,,,,
pf,9617,CRT,FALSE,'instance-of',a,occurrent,sk51,,<--,798, BFO-wrf-1, mpt,9564,,,,,,,
pf,9616,CRT,FALSE,'proper-occurrent-part-of',sk142,sk142,,,<--,353, BFO-okr-1, mpt,9568,,,,,,,
pf,9615,CRT,FALSE,'proper-temporal-part-of',sk142,sk142,,,<--,675, BFO-aeu-1, mpt,9568,,,,,,,
pf,9614,CRT,FALSE,'proper-occurrent-part-of',sk144,sk144,,,<--,353, BFO-okr-1, mpt,9575,,,,,,,
pf,9613,CRT,FALSE,'proper-temporal-part-of',sk144,sk144,,,<--,675, BFO-aeu-1, mpt,9575,,,,,,,
pf,9612,CRT,FALSE,'proper-occurrent-part-of',sk162,sk162,,,<--,353, BFO-okr-1, mpt,9581,,,,,,,
pf,9611,CRT,FALSE,'proper-temporal-part-of',sk162,sk162,,,<--,675, BFO-aeu-1, mpt,9581,,,,,,,
pf,9610,CRT,FALSE,'proper-occurrent-part-of',sk179,sk179,,,<--,353, BFO-okr-1, mpt,9586,,,,,,,
pf,9609,CRT,FALSE,'proper-temporal-part-of',sk179,sk179,,,<--,675, BFO-aeu-1, mpt,9586,,,,,,,
pf,9608,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk17,,<--,857, BFO-cig-1, mpt,9590,,,,,,,
pf,9607,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk17,,<--,859, BFO-cig-1, mpt,9590,,,,,,,
pf,9606,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk144,,<--,857, BFO-cig-1, mpt,9594,,,,,,,
pf,9605,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk144,,<--,859, BFO-cig-1, mpt,9594,,,,,,,
pf,9604,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk142,,<--,857, BFO-cig-1, mpt,9595,,,,,,,
pf,9603,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk142,,<--,859, BFO-cig-1, mpt,9595,,,,,,,
pf,9602,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk51,,<--,857, BFO-cig-1, mpt,9596,,,,,,,
pf,9601,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk51,,<--,859, BFO-cig-1, mpt,9596,,,,,,,
pf,9600,CRT,FALSE,'proper-continuant-part-of',a,a,sk51,,<--,197, BFO-sls-1, mpt,9597,,,,,,,
pf,9599,CRT,TRUE,overlaps,a,a,sk51,,<--,3, BFOCE-unmarked, mpp,9597,9597,,,,,,
pf,9598,CRT,TRUE,'has-continuant-part',a,a,sk51,,<--,187, BFO-eld-1, mpp,9597,,,,,,,
pf,9597,CRT,TRUE,'continuant-part-of',a,a,sk51,,<--,189, BFO-mcd-1, mpp,9596,,,,,,,
pf,9596,CRT,TRUE,'instance-of',a,'independent-continuant',sk51,,<--,841, BFO-otk-1, mpp,9595,9591,,,,,,
pf,9595,CRT,TRUE,'instance-of',a,'independent-continuant',sk142,,<--,841, BFO-otk-1, mpp,9594,9592,,,,,,
pf,9594,CRT,TRUE,'instance-of',a,'independent-continuant',sk144,,<--,841, BFO-otk-1, mpp,7449,9593,,,,,,
pf,9593,CRT,TRUE,'exists-at',a,sk144,,,<--,270, BFO-bee-1, mpp,87,4825,9559,,,,,
pf,9592,CRT,TRUE,'exists-at',a,sk142,,,<--,270, BFO-bee-1, mpp,87,4749,9562,,,,,
pf,9591,CRT,TRUE,'exists-at',a,sk51,,,<--,270, BFO-bee-1, mpp,87,1598,9564,,,,,
pf,9590,CRT,TRUE,'instance-of',a,'independent-continuant',sk17,,<--,841, BFO-otk-1, mpp,7449,9565,,,,,,
pf,9589,CRT,TRUE,'has-continuant-part',a,a,sk179,,<--,187, BFO-eld-1, mpp,9506,,,,,,,
pf,9588,CRT,TRUE,'has-temporal-part',sk179,sk179,,,<--,662, BFO-boo-1, mpp,9507,,,,,,,
pf,9587,CRT,TRUE,entity,sk179,,,,<--,824, BFO-vgn-1, mpp,9508,,,,,,,
pf,9586,CRT,TRUE,identical,sk179,sk179,,,<--,351, BFO-xlu-1, mpp,9510,9510,,,,,,
pf,9585,CRT,TRUE,'has-occurrent-part',sk179,sk179,,,<--,346, BFO-yvi-1, mpp,9510,,,,,,,
pf,9584,CRT,TRUE,'has-continuant-part',a,a,sk162,,<--,187, BFO-eld-1, mpp,9511,,,,,,,
