Count/Prevented rule/preventing rule
7705	0	670
4054	0	351
620	267	769
433	682	374
400	81	81
394	33	33
354	65	66
352	167	167
352	667	667
348	349	349
300	380	368
300	381	368
297	108	108
297	123	123
297	137	137
297	138	138
290	683	374
286	268	374
281	259	822
265	803	803
262	109	109
262	124	124
262	139	139
262	212	212
262	217	217
253	46	46
241	211	211
241	216	216
239	359	374
233	268	841
223	360	793
216	536	536
213	360	374
212	408	408
209	522	532
207	521	528
206	787	787
202	252	374
199	359	793
196	695	0
193	533	536
192	532	532
192	692	680
192	693	679
189	263	769
182	449	449
163	697	793
159	696	374
155	191	191
155	344	344
154	252	270
154	262	256
152	0	0
152	42	42
152	793	793
144	813	813
144	814	814
143	1	189
133	34	29
132	352	353
129	512	33
126	696	793
124	664	417
123	2	189
121	697	374
121	813	859
121	814	857
120	250	189
117	694	669
113	788	788
113	795	795
113	799	799
112	284	284
112	810	810
112	825	825
110	261	374
104	0	672
103	287	287
102	459	459
100	447	447
97	276	276
96	251	832
92	250	19
88	269	269
87	543	536
85	683	793
83	471	471
81	2	19
80	523	513
79	203	203
78	694	665
73	790	790
73	801	801
71	328	832
64	261	841
62	632	632
61	1	19
60	269	798
59	470	189
56	701	663
55	804	804
55	806	806
55	807	203
54	254	417
53	268	793
51	820	830
50	850	798
48	818	818
47	698	698
47	822	822
46	65	65
43	821	821
42	621	621
42	647	647
41	204	204
40	542	542
39	788	862
39	795	865
39	799	864
37	683	821
36	262	374
36	734	374
35	328	254
35	328	374
35	370	367
35	486	486
35	535	535
35	544	536
35	815	815
35	816	816
35	817	817
35	819	204
33	251	374
32	186	186
32	251	254
32	268	324
32	479	0
32	480	0
32	591	33
31	29	29
30	269	42
30	269	204
30	269	788
30	269	793
30	269	795
30	269	799
30	269	803
30	269	830
30	513	513
29	39	39
28	269	488
28	269	822
28	470	19
27	383	367
27	384	386
26	269	104
26	269	818
26	269	821
25	34	34
25	387	679
25	388	680
25	443	52
24	211	212
24	216	217
24	251	212
24	523	523
23	382	369
23	683	687
23	802	488
22	201	201
22	202	202
22	429	434
22	447	488
21	261	793
21	464	495
20	565	350
20	567	528
20	569	528
20	682	254
18	328	803
18	351	368
18	478	19
18	670	417
17	683	822
17	699	0
16	0	512
16	366	350
16	385	350
16	413	374
16	439	29
16	440	29
15	181	32
15	182	32
15	367	367
15	386	386
15	481	665
15	528	528
15	663	663
14	478	189
13	196	197
13	266	822
13	303	304
12	46	19
12	108	109
12	123	124
12	137	139
12	138	139
12	213	804
12	259	104
12	278	280
12	361	449
12	412	374
12	414	418
12	449	446
12	449	447
12	481	669
12	546	669
12	547	0
12	674	674
12	800	320
11	41	0
11	366	369
11	385	369
11	792	854
11	811	856
10	193	806
10	244	202
10	245	420
10	265	270
10	279	669
10	412	793
10	463	497
10	540	819
10	650	324
10	659	659
10	661	661
10	672	672
10	673	673
9	253	307
9	309	307
9	649	832
9	700	665
8	188	204
8	206	854
8	253	322
8	268	254
8	308	322
8	379	367
8	414	416
8	530	532
8	539	542
8	557	350
8	559	528
8	561	528
8	636	374
8	682	485
8	683	254
8	808	325
7	0	515
7	305	305
7	375	687
7	376	386
7	377	449
7	531	374
7	700	669
7	841	257
6	0	673
6	40	665
6	49	52
6	51	53
6	196	217
6	253	284
6	253	490
6	253	646
6	253	657
6	262	260
6	268	802
6	301	305
6	413	793
6	462	417
6	462	418
6	463	495
6	509	665
6	514	535
6	515	523
6	541	665
6	635	270
6	635	374
6	652	329
6	652	647
6	657	646
5	50	0
5	52	52
5	201	212
5	202	212
5	250	194
5	251	46
5	254	418
5	267	775
5	282	669
5	378	669
5	382	350
5	481	29
5	645	324
4	30	29
4	31	29
4	40	669
4	53	53
4	248	211
4	248	212
4	249	211
4	249	212
4	251	211
4	253	101
4	268	821
4	360	42
4	363	793
4	365	793
4	398	669
4	399	542
4	400	542
4	401	189
4	425	29
4	426	29
4	447	43
4	447	446
4	471	847
4	514	536
4	541	669
4	590	33
4	636	270
4	664	418
4	674	675
4	678	417
4	682	45
4	682	534
4	683	534
4	697	42
4	701	830
4	734	254
4	734	534
4	818	830
3	1	194
3	2	194
3	40	445
3	109	108
3	124	123
3	212	211
3	217	216
3	244	211
3	244	212
3	252	356
3	263	775
3	265	374
3	362	793
3	364	793
3	465	486
3	529	528
3	533	543
3	734	485
2	26	29
2	41	41
2	183	29
2	196	216
2	207	201
2	207	202
2	208	201
2	208	202
2	250	470
2	253	0
2	253	235
2	253	236
2	253	237
2	253	374
2	256	256
2	257	257
2	260	260
2	263	766
2	267	771
2	268	42
2	268	212
2	268	803
2	269	43
2	269	260
2	269	801
2	279	665
2	328	212
2	359	42
2	371	850
2	372	850
2	378	665
2	382	664
2	387	693
2	388	692
2	436	422
2	436	424
2	436	704
2	436	705
2	443	305
2	525	536
2	525	543
2	531	534
2	558	528
2	560	528
2	566	528
2	568	528
2	649	254
2	650	841
2	682	684
2	683	485
2	696	42
2	802	43
1	22	669
1	23	669
1	29	26
1	29	34
1	34	26
1	40	29
1	47	44
1	50	19
1	54	52
1	55	0
1	111	0
1	116	661
1	118	659
1	119	374
1	126	0
1	130	661
1	131	374
1	132	659
1	181	37
1	182	37
1	201	211
1	202	211
1	207	211
1	207	212
1	208	211
1	208	212
1	252	510
1	253	13
1	253	44
1	253	106
1	253	112
1	253	121
1	253	127
1	253	171
1	253	254
1	253	324
1	253	367
1	253	449
1	253	471
1	253	534
1	253	536
1	253	687
1	253	795
1	253	802
1	253	803
1	253	819
1	253	821
1	253	822
1	259	259
1	261	254
1	263	760
1	263	784
1	267	259
1	267	759
1	267	766
1	267	770
1	267	783
1	267	784
1	268	13
1	268	35
1	268	211
1	268	788
1	268	822
1	282	665
1	308	254
1	362	374
1	364	374
1	430	411
1	438	411
1	445	33
1	464	463
1	530	427
1	530	428
1	531	258
1	543	543
1	556	350
1	556	369
1	564	350
1	564	369
1	645	841
1	649	803
1	663	701
1	672	415
1	673	415
