342	1108
658	887
266	712
794	630
660	577
858	511
441	460
789	454
782	441
861	430
860	429
349	424
671	424
28	365
256	323
414	314
820	306
506	305
661	291
346	287
260	261
250	247
175	192
343	192
508	182
533	173
577	138
579	138
580	138
582	138
826	131
253	121
183	118
566	114
568	114
569	114
571	114
666	112
674	112
193	111
369	111
185	102
325	102
445	100
301	99
254	92
857	87
856	86
855	82
698	81
252	77
853	74
179	64
255	59
321	56
837	56
176	55
784	55
654	54
656	54
25	50
799	49
484	47
819	47
817	45
437	43
265	42
833	41
499	39
482	36
675	36
676	36
846	35
370	34
485	33
493	33
93	32
94	32
95	32
96	32
29	31
491	31
511	31
22	30
39	30
283	30
519	30
599	30
601	30
602	30
604	30
59	29
75	29
285	29
316	29
323	29
623	29
850	29
852	29
350	28
351	28
672	28
1459	28
1461	28
1462	28
454	27
808	27
277	26
282	26
365	26
403	26
642	26
653	26
798	26
97	24
98	24
99	24
207	24
541	24
843	24
809	23
810	23
347	22
534	22
405	21
24	20
385	20
791	20
832	20
834	20
497	19
208	18
483	18
683	18
686	18
38	17
496	17
828	17
616	16
630	16
684	16
687	16
845	16
665	14
42	12
280	12
284	12
320	12
423	12
424	12
494	12
814	12
364	11
783	11
818	11
404	10
461	10
643	10
270	9
281	9
659	9
670	9
694	9
795	9
27	8
105	8
120	8
212	8
213	8
242	8
243	8
269	8
271	8
276	8
279	8
427	8
486	8
509	8
610	8
673	8
680	8
703	8
135	7
163	7
200	7
297	7
344	7
345	7
411	7
438	7
442	7
532	7
662	7
663	7
667	7
668	7
30	6
35	6
40	6
61	6
77	6
104	6
110	6
119	6
125	6
133	6
134	6
187	6
340	6
352	6
433	6
588	6
590	6
591	6
593	6
669	6
804	6
31	5
32	5
33	5
41	5
102	5
413	5
430	5
481	5
859	5
89	4
117	4
131	4
182	4
206	4
236	4
239	4
303	4
410	4
418	4
420	4
431	4
458	4
480	4
490	4
492	4
520	4
522	4
528	4
699	4
700	4
701	4
788	4
806	4
807	4
811	4
812	4
813	4
821	4
181	3
184	3
188	3
189	3
203	3
240	3
272	3
455	3
523	3
655	3
657	3
786	3
816	3
10	2
48	2
79	2
197	2
226	2
238	2
295	2
298	2
300	2
412	2
429	2
460	2
517	2
521	2
531	2
617	2
697	2
797	2
1457	2
1458	2
1460	2
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
37	1
44	1
49	1
107	1
108	1
155	1
186	1
192	1
195	1
198	1
199	1
211	1
225	1
363	1
382	1
407	1
416	1
440	1
467	1
475	1
476	1
507	1
510	1
524	1
529	1
535	1
536	1
544	1
549	1
586	1
628	1
688	1
689	1
696	1
749	1
750	1
751	1
755	1
756	1
760	1
761	1
762	1
764	1
765	1
766	1
767	1
769	1
771	1
772	1
774	1
775	1
776	1
777	1
778	1
779	1
780	1
781	1
800	1
802	1
815	1
