pf,10200,"CRT","FALSE",precedes,sk154,sk154,,,<--,418, BFO-aou-1, mpt, 10091, 10091
pf,10199,"CRT","FALSE",'instance-of',sk154,continuant,sk154,,<--,798, BFO-wrf-1, mpt, 10092
pf,10198,"CRT","FALSE",'instance-of',a,occurrent,sk18,,<--,798, BFO-wrf-1, mpt, 10097
pf,10197,"CRT","FALSE",'proper-continuant-part-of',a,a,sk154,,<--,197, BFO-sls-1, mpt, 10099
pf,10196,"CRT","FALSE",'proper-continuant-part-of',a,a,sk156,,<--,197, BFO-sls-1, mpt, 10100
pf,10195,"CRT","FALSE",universal,sk53,,,,<--,786, BFO-qkp-1, mpt, 10101
pf,10194,"CRT","FALSE",precedes,sk53,sk53,,,<--,418, BFO-aou-1, mpt, 10103, 10103
pf,10193,"CRT","FALSE",'instance-of',sk53,continuant,sk53,,<--,798, BFO-wrf-1, mpt, 10104
pf,10192,"CRT","FALSE",universal,sk42,,,,<--,786, BFO-qkp-1, mpt, 10108
pf,10191,"CRT","FALSE",precedes,sk42,sk42,,,<--,418, BFO-aou-1, mpt, 10109, 10109
pf,10190,"CRT","FALSE",'instance-of',sk42,continuant,sk42,,<--,798, BFO-wrf-1, mpt, 10110
pf,10189,"CRT","FALSE",'proper-occurrent-part-of',sk42,sk42,,,<--,353, BFO-okr-1, mpt, 10114
pf,10188,"CRT","FALSE",'proper-temporal-part-of',sk42,sk42,,,<--,675, BFO-aeu-1, mpt, 10114
pf,10187,"CRT","FALSE",'proper-occurrent-part-of',sk53,sk53,,,<--,353, BFO-okr-1, mpt, 10118
pf,10186,"CRT","FALSE",'proper-temporal-part-of',sk53,sk53,,,<--,675, BFO-aeu-1, mpt, 10118
pf,10185,"CRT","FALSE",'instance-of',a,occurrent,sk156,,<--,798, BFO-wrf-1, mpt, 10125
pf,10184,"CRT","FALSE",'instance-of',a,occurrent,sk154,,<--,798, BFO-wrf-1, mpt, 10128
pf,10183,"CRT","FALSE",'instance-of',a,occurrent,sk53,,<--,798, BFO-wrf-1, mpt, 10130
pf,10182,"CRT","FALSE",'proper-occurrent-part-of',sk154,sk154,,,<--,353, BFO-okr-1, mpt, 10134
pf,10181,"CRT","FALSE",'proper-temporal-part-of',sk154,sk154,,,<--,675, BFO-aeu-1, mpt, 10134
pf,10180,"CRT","FALSE",'proper-occurrent-part-of',sk156,sk156,,,<--,353, BFO-okr-1, mpt, 10141
pf,10179,"CRT","FALSE",'proper-temporal-part-of',sk156,sk156,,,<--,675, BFO-aeu-1, mpt, 10141
pf,10178,"CRT","FALSE",'proper-occurrent-part-of',sk174,sk174,,,<--,353, BFO-okr-1, mpt, 10147
pf,10177,"CRT","FALSE",'proper-temporal-part-of',sk174,sk174,,,<--,675, BFO-aeu-1, mpt, 10147
pf,10176,"CRT","FALSE",'proper-occurrent-part-of',sk191,sk191,,,<--,353, BFO-okr-1, mpt, 10152
pf,10175,"CRT","FALSE",'proper-temporal-part-of',sk191,sk191,,,<--,675, BFO-aeu-1, mpt, 10152
pf,10174,"CRT","FALSE",'instance-of',a,'specifically-dependent-continuant',sk18,,<--,857, BFO-cig-1, mpt, 10156
pf,10173,"CRT","FALSE",'instance-of',a,'generically-dependent-continuant',sk18,,<--,859, BFO-cig-1, mpt, 10156
pf,10172,"CRT","FALSE",'instance-of',a,'specifically-dependent-continuant',sk156,,<--,857, BFO-cig-1, mpt, 10160
