pf,10179,CRT,FALSE,universal,sk156,,,,<--,786, BFO-qkp-1, mpt,10067,,,,
pf,10178,CRT,FALSE,precedes,sk156,sk156,,,<--,418, BFO-aou-1, mpt,10069,10069,,,
pf,10177,CRT,FALSE,'instance-of',sk156,continuant,sk156,,<--,798, BFO-wrf-1, mpt,10070,,,,
pf,10176,CRT,FALSE,'instance-of',a,occurrent,sk20,,<--,798, BFO-wrf-1, mpt,10075,,,,
pf,10175,CRT,FALSE,'proper-continuant-part-of',a,a,sk156,,<--,197, BFO-sls-1, mpt,10077,,,,
pf,10174,CRT,FALSE,'proper-continuant-part-of',a,a,sk158,,<--,197, BFO-sls-1, mpt,10078,,,,
pf,10173,CRT,FALSE,universal,sk55,,,,<--,786, BFO-qkp-1, mpt,10079,,,,
pf,10172,CRT,FALSE,precedes,sk55,sk55,,,<--,418, BFO-aou-1, mpt,10081,10081,,,
pf,10171,CRT,FALSE,'instance-of',sk55,continuant,sk55,,<--,798, BFO-wrf-1, mpt,10082,,,,
pf,10170,CRT,FALSE,universal,sk44,,,,<--,786, BFO-qkp-1, mpt,10086,,,,
pf,10169,CRT,FALSE,precedes,sk44,sk44,,,<--,418, BFO-aou-1, mpt,10087,10087,,,
pf,10168,CRT,FALSE,'instance-of',sk44,continuant,sk44,,<--,798, BFO-wrf-1, mpt,10088,,,,
pf,10167,CRT,FALSE,'proper-occurrent-part-of',sk44,sk44,,,<--,353, BFO-okr-1, mpt,10092,,,,
pf,10166,CRT,FALSE,'proper-temporal-part-of',sk44,sk44,,,<--,675, BFO-aeu-1, mpt,10092,,,,
pf,10165,CRT,FALSE,'proper-occurrent-part-of',sk55,sk55,,,<--,353, BFO-okr-1, mpt,10096,,,,
pf,10164,CRT,FALSE,'proper-temporal-part-of',sk55,sk55,,,<--,675, BFO-aeu-1, mpt,10096,,,,
pf,10163,CRT,FALSE,'instance-of',a,occurrent,sk158,,<--,798, BFO-wrf-1, mpt,10103,,,,
pf,10162,CRT,FALSE,'instance-of',a,occurrent,sk156,,<--,798, BFO-wrf-1, mpt,10106,,,,
pf,10161,CRT,FALSE,'instance-of',a,occurrent,sk55,,<--,798, BFO-wrf-1, mpt,10108,,,,
pf,10160,CRT,FALSE,'proper-occurrent-part-of',sk156,sk156,,,<--,353, BFO-okr-1, mpt,10112,,,,
pf,10159,CRT,FALSE,'proper-temporal-part-of',sk156,sk156,,,<--,675, BFO-aeu-1, mpt,10112,,,,
pf,10158,CRT,FALSE,'proper-occurrent-part-of',sk158,sk158,,,<--,353, BFO-okr-1, mpt,10119,,,,
pf,10157,CRT,FALSE,'proper-temporal-part-of',sk158,sk158,,,<--,675, BFO-aeu-1, mpt,10119,,,,
pf,10156,CRT,FALSE,'proper-occurrent-part-of',sk176,sk176,,,<--,353, BFO-okr-1, mpt,10125,,,,
